group	lib.size	norm.factors	eff.lib.size
E-S1	801765	1.15889816989122	929163.99118283
E-S2	905297	1.00366461764076	908614.567356328
E-S27	799885	0.980699741677089	784447.012871378
E-S28	885711	0.984066220038328	871598.275816368
E-S3	933450	0.888045555398639	828946.12368686
E-S31	934842	1.16222689928501	1086498.5189814
E-S4	962903	1.02821098964373	990067.446560914
E-S55	908044	1.09759211901944	996661.938122886
E-S58	967344	0.895964391859906	866705.778679329
E-S69	808155	1.03187156547457	833912.164996099
E-S70	896678	0.820806146408747	735998.813749503
E-S71	958277	1.00785798218884	965807.123597979
