group	lib.size	norm.factors	eff.lib.size
E-S1	556253	1.02868657639823	572209.994181246
E-S2	599431	0.999652532858368	599222.717423824
E-S27	551097	0.96454807374532	531559.549796824
E-S28	589759	1.0189201151775	600917.308206966
E-S3	593907	0.90696831785112	538654.832750005
E-S31	590205	1.22127199148186	720800.835732549
E-S4	607268	1.00721681003193	611650.537794471
E-S55	601368	1.09517035660677	658600.407011901
E-S58	613426	0.934624165689898	573322.763462491
E-S69	558684	0.981715281371061	548468.62025751
E-S70	598588	0.850709882674655	509224.727250457
E-S71	607222	1.03750607446749	629996.513550301
